,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,PrgDist Car,Prog
Ludovic Blas,fr FRA,MFFW,Nantes,fr Ligue 1,22-331,1997,9.4,23.8,29.8,80,445,86.3,10.6,12.2,87,9.26,10.6,87,3.4,5.64,60.4,0,0.04,-0.04,0.53,2.98,0.74,0.21,168.1,2.66
Jérôme Boateng,de GER,DF,Bayern Munich,de Bundesliga,32-084,1988,6.6,67,75.3,88.9,1676.8,475.3,11.2,12.4,90.2,36.7,37.9,96.8,18.9,24.8,76.2,0,0.02,-0.02,0.3,8.03,0.76,0.15,147.6,5.45
Antonin Bobichon,fr FRA,MFFW,Angers,fr Ligue 1,25-073,1995,2.7,40.4,50.4,80.1,666.3,169.6,22.6,25.2,89.7,9.26,10.7,86.2,6.67,11.1,60,0.37,0.3,0.07,2.59,3.33,0.37,0,151.5,4.81
Yann Bodiger,fr FRA,MF,Cádiz,es La Liga,25-291,1995,1.4,19.3,35,55.1,315.7,79.3,9.29,15,61.9,6.43,8.57,75,2.14,7.14,30,0,0.07,-0.07,1.43,2.14,0,0,64.3,1.43
Jean-Paul Boëtius,nl NED,MFFW,Mainz 05,de Bundesliga,26-249,1994,7.1,24.1,33.9,71,411.8,144.6,11.4,14.6,77.9,9.3,11.7,79.5,2.39,4.93,48.6,0.14,0.21,-0.07,1.27,2.82,0.99,0.14,95.8,4.23
Sacha Boey,fr FRA,DF,Dijon,fr Ligue 1,20-074,2000,3,41.7,50,83.3,726,266,17,19.3,87.9,17.3,20.3,85.2,4.33,7,61.9,0,0.03,-0.03,0.33,2,0.67,0.33,117,2.33
Sacha Boey,fr FRA,DF,Rennes,fr Ligue 1,20-074,2000,1.4,54.3,63.6,85.4,1032.1,342.9,24.3,27.1,89.5,22.9,26.4,86.5,6.43,8.57,75,0,0.07,-0.07,0.71,1.43,0.71,0.71,58.6,5.71
Jeremie Boga,ci CIV,MFFW,Sassuolo,it Serie A,23-328,1997,2.8,26.8,32.1,83.3,384.3,59.3,16.8,18.9,88.7,7.86,9.29,84.6,1.07,1.07,100,0.36,0.07,0.29,0.71,1.43,0,0,246.4,2.14
Melayro Bogarde,nl NED,DF,Hoffenheim,de Bundesliga,18-182,2002,1,49,55,89.1,1081,377,19,20,95,19,22,86.4,11,12,91.7,0,0,0,0,5,1,0,119,10
Quentin Boisgard,fr FRA,MFFW,Lorient,fr Ligue 1,23-254,1997,5.5,18,31.5,57.2,314.7,126.7,9.09,10.4,87.7,6.18,7.82,79.1,2,10,20,0.18,0.13,0.05,1.45,0.73,0.55,0,89.5,2
Willy Boly,ci CIV,DF,Wolves,eng Premier League,29-297,1991,9,40.2,48.2,83.4,789.1,262.9,13.2,14.8,89.5,20.4,23,88.9,5.89,9.22,63.9,0,0,0,0.11,2.89,0.11,0,63.8,2.44
Giacomo Bonaventura,it ITA,MF,Fiorentina,it Serie A,31-096,1989,5,35,42.4,82.5,638.4,130.4,14.6,15.4,94.8,14.8,16.2,91.4,4.4,7.8,56.4,0.2,0.38,-0.18,2,1.8,2.2,0.8,107,3
Federico Bonazzoli,it ITA,FW,Torino,it Serie A,23-189,1997,2.2,14.5,17.3,84.2,282.7,39.5,5.45,7.27,75,6.82,7.73,88.2,2.27,2.27,100,0.45,0.05,0.41,0.45,1.36,0.91,0,54.5,1.36
Federico Bonazzoli,it ITA,FW,Sampdoria,it Serie A,23-189,1997,1.5,13.3,18.7,71.4,231.3,42,6,8.67,69.2,6,8,75,1.33,1.33,100,0.67,0.6,0.07,1.33,2.67,0.67,0,105.3,1.33
Kevin Bonifazi,it ITA,DF,Udinese,it Serie A,24-191,1996,0.2,90,110,81.8,1840,660,25,30,83.3,55,55,100,10,20,50,0,0,0,0,10,0,0,430,10
