,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,PrgDist Car,Prog
Vincent Le Goff,fr FRA,DF,Lorient,fr Ligue 1,31-042,1989,6,38.8,50,77.7,678.5,340.5,17.3,20.3,85.2,17.3,20.7,83.9,3.67,7,52.4,0,0.07,-0.07,0.5,2,0.83,0.17,106,5.33
Maxime Le Marchand,fr FRA,DF,Fulham,eng Premier League,31-046,1989,1.4,55.7,58.6,95.1,1315,458.6,12.9,12.9,100,30.7,32.1,95.6,11.4,12.9,88.9,0,0,0,0,2.14,0.71,0,105,4.29
Robin Le Normand,fr FRA,DF,Real Sociedad,es La Liga,24-015,1996,7.9,52,60.4,86.2,1186.3,294.8,11,12.3,89.7,30,32.4,92.6,10.5,14.7,71.6,0,0,0,0,2.41,0.25,0,129.2,2.15
Damien Le Tallec,fr FRA,MFDF,Montpellier,fr Ligue 1,30-221,1990,6.5,27.2,31.8,85.5,602.6,127.4,9.23,10,92.3,11.8,13.4,88.5,5.69,7.38,77.1,0,0,0,0,2.62,0.31,0,29.4,3.23
James Lea Siliki,fr FRA,MF,Rennes,fr Ligue 1,24-167,1996,1.3,52.3,63.8,81.9,1143.1,215.4,14.6,20,73.1,26.2,26.9,97.1,10.8,15.4,70,0,0,0,0,6.92,0.77,0,117.7,6.92
Rafael Leáo,pt POR,FW,Milan,it Serie A,21-169,1999,4.1,18.8,26.3,71.3,309.8,79,9.51,12,79.6,7.07,10.7,65.9,1.46,2.2,66.7,0.73,0.39,0.34,1.22,1.22,2.2,0.73,#N/A,3.41
Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,35-066,1985,10,17.6,30,58.7,686.9,514.8,2.9,2.9,100,3.7,3.7,100,10.6,23,46.1,0,0.01,-0.01,0.2,0.9,0,0,36.3,0
Mathew Leckie,au AUS,FW,Hertha BSC,de Bundesliga,29-296,1991,0.8,22.5,31.3,72,522.5,40,10,13.8,72.7,7.5,10,75,5,6.25,80,1.25,0.5,0.75,2.5,0,2.5,0,62.5,3.75
Benjamin Lecomte,fr FRA,GK,Monaco,fr Ligue 1,29-214,1991,8,28.5,36.3,78.6,804.4,498.3,4.75,5,95,14.6,14.8,99.2,9.13,16.5,55.3,0,0,0,0,0.38,0,0,46.4,0.13
Jeremí­as Ledesma,ar ARG,GK,Cádiz,es La Liga,27-287,1993,7,12.6,32,39.3,711.7,599.3,0.57,0.71,80,1.43,1.57,90.9,10.6,29.6,35.7,0,0,0,0,1.57,0,0,62.3,0
Pierre Lees-Melou,fr FRA,MF,Nice,fr Ligue 1,27-185,1993,9.8,49,56.8,86.2,921.2,223.4,21,22.7,92.8,20.8,23.4,89.1,6.22,9.08,68.5,0.1,0.04,0.06,0.51,4.9,0.61,0,155.9,5.82
Lucas Leiva,br BRA,MF,Lazio,it Serie A,33-322,1987,4.9,42.4,52.9,80.3,754.9,286.3,19,22,86.1,18.8,22.2,84.4,3.88,6.12,63.3,0,0.02,-0.02,0.41,5.71,0.2,0,96.9,7.35
Florian Lejeune,fr FRA,DF,Alavés,es La Liga,29-190,1991,7.5,28.4,37.5,75.8,744.8,311.7,7.47,9.07,82.4,12.1,14.5,83.5,8.67,13.3,65,0,0,0,0.27,1.07,0.13,0,56.3,0.67
Iñigo Lekue,es ESP,DFFW,Athletic Club,es La Liga,27-206,1993,0.1,90,130,69.2,2180,590,20,40,50,50,60,83.3,20,20,100,0,0,0,0,0,10,10,390,0
Thomas Lemar,fr FRA,MFFW,Atlético Madrid,es La Liga,25-014,1995,1.7,48.2,60.6,79.6,804.7,228.2,26.5,28.2,93.8,12.4,15.9,77.8,7.06,11.8,60,0,0.12,-0.12,1.18,4.71,1.18,0,156.5,2.35
Mario Lemina,ga GAB,MF,Fulham,eng Premier League,27-086,1993,2.5,51.2,62.4,82.1,1041.2,268,14.8,18.8,78.7,28,30.8,90.9,6.8,10.8,63,0,0.04,-0.04,0.4,4.8,0.4,0,164,4.8
Fabien Lemoine,fr FRA,MF,Lorient,fr Ligue 1,33-255,1987,5.4,51.3,61.1,83.9,997.6,258.1,19.4,21.5,90.5,21.9,24.3,90.1,9.07,13,70,0,0.09,-0.09,0.37,4.26,0.37,0.37,109.8,3.33
Clément Lenglet,fr FRA,DF,Barcelona,es La Liga,25-162,1995,6,63.5,69.2,91.8,1230,464,24.5,25.7,95.5,29,30.7,94.6,9.17,11.5,79.7,0,0.05,-0.05,0.17,4.67,0.33,0,184.8,3.83
Bernd Leno,de GER,GK,Arsenal,eng Premier League,28-267,1992,9,31.3,37.3,83.9,712.4,313.6,8.78,8.78,100,16,16.1,99.3,6.11,12,50.9,0,0,0,0,0.22,0,0,38.8,0
Christopher Lenz,de GER,DF,Union Berlin,de Bundesliga,26-065,1994,7.9,45.6,60.5,75.3,882.4,305.2,18.1,20.6,87.7,21.4,26.5,80.9,5.7,10.5,54.2,0.13,0.06,0.06,0.63,2.91,1.52,0.76,123.9,4.3
Pedro León,es ESP,MFFW,Eibar,es La Liga,34-002,1986,4,20,34.5,58,338.8,106.8,8.75,11.3,77.8,8.5,12,70.8,2,8.5,23.5,0.25,0.1,0.15,1.25,1,1.75,1.5,55,1
Sergio León,es ESP,FW,Levante,es La Liga,31-325,1989,1.2,9.17,12.5,73.3,117.5,9.17,5.83,8.33,70,3.33,3.33,100,0,0.83,0,0,0.08,-0.08,1.67,0.83,0.83,0,85,0.83
Lukas Lerager,dk DEN,MF,Genoa,it Serie A,27-137,1993,5.5,34.9,41.5,84.2,574.7,142.4,17.1,19.3,88.7,13.1,15.1,86.7,3.45,4.18,82.6,0.18,0.09,0.09,1.27,2.36,0.73,0,50.9,3.09
Mehdi Léris,fr FRA,MFFW,Sampdoria,it Serie A,22-187,1998,1.3,41.5,59.2,70.1,726.9,223.1,22.3,26.9,82.9,12.3,19.2,64,6.15,11.5,53.3,0,0.08,-0.08,1.54,3.08,0.77,0,244.6,4.62
Gaetano Letizia,it ITA,DF,Benevento,it Serie A,30-150,1990,7.1,38.9,50.4,77.1,788.9,265.1,12.7,14.5,87.4,18.9,22.7,83.2,6.34,11.3,56.3,0,0.04,-0.04,0.42,1.83,1.41,0.7,96.3,2.54
Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,32-097,1988,6.1,22.3,26.9,82.9,345.1,62.3,13.3,15.1,88,6.07,7.05,86,2.13,2.62,81.3,0.66,0.11,0.54,1.48,1.48,0.82,0.16,77,1.97
Jamal Lewis,nir NIR,DF,Newcastle Utd,eng Premier League,22-306,1998,8.2,29.5,39.3,75.2,560.6,211.3,12.4,13.4,92.7,12.8,16,80.2,3.9,7.44,52.5,0,0.07,-0.07,0.73,1.71,1.34,0.85,73.5,1.34
Aaron Leya Iseka,be BEL,FW,Metz,fr Ligue 1,23-011,1997,1,15,18,83.3,195,7,11,12,91.7,4,5,80,0,1,0,0,0,0,1,0,0,0,29,0
Dimitri Liénard,fr FRA,MFFW,Strasbourg,fr Ligue 1,32-287,1988,4.1,40.5,55.1,73.5,1011.7,276.1,10.2,13.2,77.8,17.8,21,84.9,11.5,18.8,61,0.24,0.24,0,3.41,3.41,2.2,1.46,107.1,3.66
Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,24-138,1996,8,49.1,56.6,86.8,1202.3,312.6,7.25,8.13,89.2,29.6,31.4,94.4,12.1,16.6,72.9,0,0,0,0,1.88,0,0,180.1,2.13
Matthijs de Ligt,nl NED,DF,Juventus,it Serie A,21-106,1999,1,68,75,90.7,1442,433,20,20,100,37,40,92.5,10,14,71.4,0,0,0,0,1,0,0,99,3
Isaac Lihadji,fr FRA,MF,Lille,fr Ligue 1,18-230,2002,0.8,28.8,43.8,65.7,447.5,195,17.5,21.3,82.4,7.5,13.8,54.5,2.5,6.25,40,1.25,0.75,0.5,2.5,5,0,0,321.3,6.25
Dimitris Limnios,gr GRE,MFFW,Köln,de Bundesliga,22-183,1998,3.1,19,29.7,64.1,323.5,99.4,9.35,11.9,78.4,7.74,10,77.4,1.61,3.87,41.7,0,0.16,-0.16,1.29,0.65,1.29,0.32,124.2,2.26
Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,26-132,1994,7,58.9,64.4,91.4,1131.3,377.9,19.9,20.7,95.9,32.1,33.4,96.2,6.14,8.29,74.1,0,0.01,-0.01,0.29,4.57,0,0,183.3,3.43
Karol Linetty,pl POL,MF,Torino,it Serie A,25-298,1995,7.6,34.9,40.5,86,560,151.3,19.5,21.8,89.2,12,13.6,88.3,2.76,3.68,75,0,0.07,-0.07,0.79,2.24,0.39,0,124.2,3.16
Pol Lirola,es ESP,DF,Fiorentina,it Serie A,23-105,1997,3.8,39.7,53.7,74,727.9,293.9,17.6,21.3,82.7,17.4,22.9,75.9,4.47,7.89,56.7,0.26,0.08,0.18,1.32,3.42,0.53,0.53,182.1,4.21
Jake Livermore,eng ENG,MF,West Brom,eng Premier League,31-012,1989,7.3,23.2,28.9,80.1,398.9,97.9,10.5,12.7,82.8,9.45,11.5,82.1,2.47,3.29,75,0,0.03,-0.03,0.41,2.19,0.27,0.14,35.8,2.33
Diego Llorente,es ESP,DF,Real Sociedad,es La Liga,27-102,1993,1,48,54,88.9,1057,236,12,13,92.3,27,29,93.1,9,12,75,0,0,0,0,1,0,0,189,1
Marcos Llorente,es ESP,MFFW,Atlético Madrid,es La Liga,25-301,1995,4.8,28.5,36.7,77.8,436.3,96,16.3,18.8,86.7,8.96,11,81.1,1.88,3.54,52.9,0.42,0.13,0.29,1.25,0.42,2.29,0.63,126,2.92
Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,33-336,1986,9,20.2,28.2,71.7,555.9,366,5.44,5.44,100,8.11,8.11,100,6.67,14.7,45.5,0,0,0,0,0.11,0,0,19.4,0
Giovani Lo Celso,ar ARG,MF,Tottenham,eng Premier League,24-231,1996,2.4,46.7,59.6,78.3,889.6,224.2,19.6,22.9,85.5,17.1,20.4,83.7,8.75,12.1,72.4,0,0.21,-0.21,2.5,4.58,2.08,0,110.4,5.83
Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,26-001,1994,0.5,62,72,86.1,986,176,40,42,95.2,18,22,81.8,4,6,66.7,0,0,0,0,6,0,0,164,4
Manuel Locatelli,it ITA,MF,Sassuolo,it Serie A,22-323,1998,8,74.9,87.1,85.9,1413.5,385.3,33.9,36.8,92.2,30.5,34.1,89.4,9.63,14.3,67.5,0,0.09,-0.09,1,8.5,0.63,0.25,146.9,7.63
Renan Lodi,br BRA,DF,Atlético Madrid,es La Liga,22-232,1998,3.2,51.6,65.9,78.2,964.7,270.9,22.8,25.6,89,19.7,24.4,80.8,7.19,11.6,62.2,0.31,0.13,0.19,0.63,1.25,0.31,0.31,136.3,2.81
Ruben Loftus-Cheek,eng ENG,FW,Chelsea,eng Premier League,24-308,1996,0.7,15.7,22.9,68.8,237.1,31.4,8.57,8.57,100,5.71,7.14,80,1.43,4.29,33.3,0,0,0,0,1.43,0,0,88.6,1.43
Ruben Loftus-Cheek,eng ENG,MFFW,Fulham,eng Premier League,24-308,1996,2.2,47.7,51.4,92.9,758.2,156.8,23.6,25.9,91.2,20.5,20.9,97.8,2.73,2.73,100,0,0.05,-0.05,0.91,3.64,0.91,0.45,194.1,4.55
Kevin Long,ie IRL,DF,Burnley,eng Premier League,30-100,1990,6,25.2,35.2,71.6,576.2,206.2,6.33,7.5,84.4,13.2,16.3,80.6,5.17,10.2,50.8,0,0,0,0,1.33,0.17,0,22.3,2.17
Shane Long,ie IRL,FW,Southampton,eng Premier League,33-309,1987,0.6,13.3,31.7,42.1,175,18.3,6.67,10,66.7,5,13.3,37.5,0,0,,0,0,0,0,1.67,0,0,3.33,0
Matthew Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,20-250,2000,0.3,26.7,50,53.3,283.3,50,20,33.3,60,6.67,6.67,100,0,10,0,0,0,0,0,0,0,0,13.3,0
Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,23-027,1997,3.2,30,37.2,80.7,696.3,129.4,9.38,11.6,81.1,12.5,13.1,95.2,6.88,10.3,66.7,0,0.06,-0.06,0.94,2.19,0,0,48.8,2.81
Ademola Lookman,eng ENG,FW,Fulham,eng Premier League,23-037,1997,5.3,30.6,37.9,80.6,477.5,111.3,15.7,17.5,89.2,11.5,14.3,80.3,2.08,3.21,64.7,0.19,0.11,0.08,1.89,1.13,1.13,0.19,194.7,2.45
Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,30-056,1990,11,24,29.4,81.7,704.8,394.5,4.45,4.45,100,10.9,11.1,98.4,8.55,13.6,62.7,0,0,0,0,0.55,0,0,39.8,0.09
Rony Lopes,pt POR,FWMF,Nice,fr Ligue 1,24-334,1995,6.6,31.7,42.3,74.9,529.8,134.7,16.7,19.5,85.3,11.5,13.9,82.6,2.88,6.82,42.2,0,0.09,-0.09,1.52,2.27,1.06,0.61,166.5,2.73
Pedro López Muñoz,es ESP,DF,Huesca,es La Liga,37-025,1983,3.7,52.4,62.4,84,1005.4,365.1,23,25.4,90.4,21.1,24.3,86.7,8.11,11.6,69.8,0.27,0.11,0.16,1.08,2.7,0.81,0.81,79.2,2.16
Adrián López,es ESP,FW,Osasuna,es La Liga,32-323,1988,3.6,21.1,28.1,75.2,290.6,64.7,12.8,15.8,80.7,6.67,9.44,70.6,1.11,1.67,66.7,0.28,0.03,0.25,0.56,1.94,1.39,0,114.7,2.78
Javi López,es ESP,DFMF,Alavés,es La Liga,18-330,2002,1,29,42,69,606,257,13,15,86.7,11,18,61.1,5,8,62.5,0,0.1,-0.1,2,1,2,1,176,3
Maxime Lopez,fr FRA,FWMF,Marseille,fr Ligue 1,22-358,1997,1.5,30.7,38,80.7,443.3,126,18,19.3,93.1,10,13.3,75,1.33,1.33,100,0,0.13,-0.13,0.67,4.67,0.67,0,107.9,3.33
Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,22-358,1997,3.9,67.4,72.1,93.6,1014.1,253.1,39.2,40.3,97.5,21.3,22.6,94.3,4.62,5.9,78.3,0,0.03,-0.03,1.03,5.13,0.77,0,100.7,2.82
Pau López,es ESP,GK,Roma,it Serie A,25-349,1994,1,30,42,71.4,807,454,9,9,100,12,13,92.3,9,20,45,0,0,0,0,0,0,0,41,0
Roberto López,es ESP,MF,Real Sociedad,es La Liga,20-216,2000,1.6,34.4,50,68.8,555.6,172.5,19.4,22.5,86.1,8.13,11.9,68.4,5.63,13.1,42.9,0,0,0,0.63,3.13,0.63,0,35.6,3.75
Unai López,es ESP,MF,Athletic Club,es La Liga,25-027,1995,6.2,51.6,61.9,83.3,1054.5,268.1,19.8,22.3,89.1,20.6,23.5,87.7,10.3,14.4,71.9,0,0.08,-0.08,1.61,4.84,0.97,0.16,105.3,4.35
Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,22-058,1998,8.3,53.9,65.3,82.5,843,240.5,28.2,30.7,91.8,21.9,25.3,86.7,2.65,6.51,40.7,0,0.05,-0.05,0.48,3.37,0.24,0.24,190,3.25
Imran Louza,fr FRA,MFFW,Nantes,fr Ligue 1,21-209,1999,7,47.3,57.1,82.8,867.9,205.6,22.9,25.4,89.9,15.3,18.6,82.3,7.29,10.7,68,0,0.17,-0.17,1.14,5.14,0.29,0,135.4,4
Matteo Lovato,it ITA,DF,Hellas Verona,it Serie A,20-286,2000,5.8,39.7,46.6,85.2,885.7,225.7,9.83,11.7,83.8,20.9,22.8,91.7,8.62,11,78.1,0,0.02,-0.02,0.52,1.9,0.34,0,134,2.24
Max Lowe,eng ENG,DF,Sheffield Utd,eng Premier League,23-199,1997,3.1,21.3,32.9,64.7,344.2,134.8,9.68,12.6,76.9,9.68,13.5,71.4,1.61,4.84,33.3,0,0,0,0,1.94,0.97,0,60.6,2.58
Eduard Löwen,de GER,MFDF,Hertha BSC,de Bundesliga,23-303,1997,0.4,50,75,66.7,907.5,315,17.5,22.5,77.8,32.5,45,72.2,0,2.5,0,0,0,0,0,5,5,2.5,205,5
Matthew Lowton,eng ENG,DF,Burnley,eng Premier League,31-170,1989,4,33.5,47.3,70.9,711.8,292.3,12.5,13.8,90.9,12.5,16.5,75.8,7.75,15.5,50,0,0.05,-0.05,0.25,4.25,0.25,0.25,96.3,3.5
Anthony Lozano,hn HON,FW,Cádiz,es La Liga,27-215,1993,4.6,10.2,17.6,58,154.1,41.3,6.3,8.04,78.4,2.39,6.52,36.7,0.87,1.09,80,0,0.02,-0.02,0.43,1.52,0.65,0.22,103.7,1.3
Hirving Lozano,mx MEX,FW,Napoli,it Serie A,25-119,1995,5.4,23.1,31.7,73.1,318.9,76.7,14.3,16.9,84.6,6.67,10.2,65.5,1.11,2.22,50,0.19,0.11,0.07,1.11,1.48,1.11,0.37,169.8,2.04
Jean Lucas,br BRA,MF,Lyon,fr Ligue 1,22-157,1998,1.8,59.4,70,84.9,1263.9,267.2,21.7,22.2,97.5,26.7,30.6,87.3,10.6,15,70.4,0,0,0,0.56,5.56,0.56,0,188.3,6.67
Anderson Lucoqui,ao ANG,DF,Arminia,de Bundesliga,23-143,1997,5.6,30.7,43.4,70.8,579.8,188,11.1,14.1,78.5,15.7,20.5,76.5,3.39,5.36,63.3,0,0,0,0.18,1.07,0,0,83.4,1.79
Jeison Lucumí­,co COL,FW,Elche,es La Liga,25-232,1995,0.5,16,22,72.7,212,4,8,10,80,6,6,100,0,0,,0,0,0,0,0,0,0,62,0
Kilian Ludewig,de GER,DF,Schalke 04,de Bundesliga,20-266,2000,4.8,35.2,48.1,73.2,568.8,274.2,17.9,20.8,86,14.6,18.5,78.7,2.08,5.63,37,0,0.06,-0.06,0.83,1.46,0.83,0.42,91,3.54
José Luis Gayí,es ESP,DF,Valencia,es La Liga,25-185,1995,9.7,31.5,43.1,73.2,637.5,222.8,10.8,13.7,78.9,15.9,19.3,82.4,4.54,8.45,53.7,0.1,0.12,-0.02,0.93,2.68,0.31,0.1,#N/A,3.61
José Luis Morales,es ESP,FWMF,Levante,es La Liga,33-126,1987,7.4,15,22.3,67.3,219.6,50.4,8.92,10.8,82.5,5.14,7.43,69.1,0.54,2.03,26.7,0.14,0.12,0.01,0.95,1.89,0.95,0.14,106.1,1.89
José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,30-326,1990,5.1,43.3,53.1,81.5,887.3,295.5,12.5,13.3,94.1,24.7,27.3,90.6,5.88,11.4,51.7,0.39,0.12,0.27,0.78,2.94,0,0,73.1,2.16
Florentino Luí­s,pt POR,MF,Monaco,fr Ligue 1,21-099,1999,1.8,61.7,68.9,89.5,1196.1,243.9,19.4,21.1,92.1,31.7,34.4,91.9,8.33,10,83.3,0,0.11,-0.11,1.67,8.89,1.67,0,101.7,5
Luisinho,pt POR,DF,Huesca,es La Liga,35-205,1985,1.9,49.5,58.9,83.9,880,295.8,23.7,25.8,91.8,21.6,26.3,82,4.21,5.79,72.7,0,0,0,0,2.63,0.53,0,112.6,4.21
Luismi,es ESP,DFMF,Elche,es La Liga,28-205,1992,0.7,50,62.9,79.5,1355.7,334.3,5.71,5.71,100,21.4,28.6,75,20,25.7,77.8,0,0,0,0,1.43,0,0,65.7,0
David Luiz,br BRA,DF,Arsenal,eng Premier League,33-218,1987,3.6,60.3,71.9,83.8,1534.4,366.4,8.61,9.44,91.2,35,36.9,94.7,16.7,24.4,68.2,0,0,0,0,5,0.56,0,215.3,2.78
Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,22-201,1998,7.7,33.5,40.6,82.4,748.1,170.4,10.1,11.2,90.7,14.3,16.6,85.9,8.44,11,76.5,0.13,0.04,0.09,0.91,3.9,0.78,0.26,123,2.86
Romelu Lukaku,be BEL,FW,Inter,it Serie A,27-197,1993,5.9,26.6,32.4,82.2,324.1,57.8,17.5,19.2,91.2,5.42,7.8,69.6,0.85,1.53,55.6,0.34,0.27,0.07,1.69,0.68,1.19,0.17,104.6,2.03
Dodi Lukebakio,be BEL,FWMF,Hertha BSC,de Bundesliga,23-063,1997,6.8,21,26.9,78.1,370.7,60.6,10.7,14.1,76,7.06,8.24,85.7,2.5,3.09,81,0.44,0.18,0.26,1.32,1.32,0.74,0.15,136.9,1.32
Saša Lukić,rs SRB,MF,Torino,it Serie A,24-105,1996,5.5,27.8,35.5,78.5,473.6,110.5,12,15.3,78.6,14,15.5,90.6,1.45,3.45,42.1,0,0.15,-0.15,1.64,2,0.73,0.18,153.3,2.18
John Lundstram,eng ENG,MF,Sheffield Utd,eng Premier League,26-282,1994,7.1,34.2,44.5,76.9,598,157.2,17.7,19.9,89.4,11.4,13.9,81.8,3.94,8.59,45.9,0,0.07,-0.07,1.41,2.96,0.56,0.14,82.3,3.1
Sebastiano Luperto,it ITA,DF,Crotone,it Serie A,24-081,1996,3.9,50.3,59,85.2,979.2,338.2,16.4,17.2,95.5,29,31.5,91.9,4.62,9.74,47.4,0,0.03,-0.03,0.26,1.79,0,0,92.8,2.31
Andreas Luthe,de GER,GK,Union Berlin,de Bundesliga,33-261,1987,8,24.8,36.3,68.3,737.3,474.8,4,4,100,12.4,12.6,98,8.38,19.6,42.7,0,0,0,0,0.13,0,0,39.4,0
Lyanco,br BRA,DF,Torino,it Serie A,23-299,1997,6,50.7,57.5,88.1,1049.5,387.5,16,16.5,97,26.5,28,94.6,7.5,12.2,61.6,0,0.03,-0.03,0.17,2.67,0.5,0,95,3.17
Charalambos Lykogiannis,gr GRE,DF,Cagliari,it Serie A,27-035,1993,6.8,36.8,50,73.5,743.7,352.4,10.6,12.2,86.7,21.5,27.1,79.3,3.97,8.68,45.8,0.15,0.07,0.07,0.29,3.68,0.44,0.15,119.3,3.24
Robert Lynch Sanchez,es ESP,GK,Brighton,eng Premier League,,,1,16,28,57.1,589,316,1,1,100,7,8,87.5,8,19,42.1,0,0,0,0,0,0,0,18,0
Yann M'Vila,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,30-150,1990,0.2,65,75,86.7,1110,195,30,30,100,25,35,71.4,5,5,100,0,0,0,0,0,0,0,35,0
Alexis Mac Allister,ar ARG,MFDF,Brighton,eng Premier League,21-338,1998,0.5,26,36,72.2,324,74,18,24,75,8,10,80,0,2,0,0,0,0,0,0,0,0,96,4
Darwin Machí­s,ve VEN,FWMF,Granada,es La Liga,27-293,1993,5.9,13.4,23.4,57.2,262.5,81.4,6.1,8.31,73.5,4.75,7.12,66.7,2.37,5.59,42.4,0.17,0.22,-0.05,0.85,1.02,0.34,0.17,134.9,1.19
Tim Maciejewski,de GER,MF,Union Berlin,de Bundesliga,19-266,2001,0.1,20,30,66.7,410,20,10,10,100,10,10,100,0,0,,0,0,0,0,0,0,0,70,0
Yvann Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,22-056,1998,6,40,53.3,75,656.5,296.3,23.3,26.2,89.2,12.3,16,77.1,4,9,44.4,0.17,0.02,0.15,0.17,2,0.5,0.17,154.2,2.5
James Maddison,eng ENG,MFFW,Leicester City,eng Premier League,24-003,1996,4,37.8,46.5,81.2,648,186,19,22,86.4,11.5,12.8,90.2,5.25,8.75,60,0,0.13,-0.13,2.25,3.5,1.75,0,132,4.5
Pablo Maffeo,es ESP,DF,Huesca,es La Liga,23-137,1997,4.8,42.1,56.9,74,782.7,268.3,18.1,21,86.1,17.7,21,84.2,5.42,11.9,45.6,0,0,0,0.21,2.5,0,0,132.3,2.92
Lisandro Magallán,ar ARG,DF,Crotone,it Serie A,27-060,1993,8,47.8,55.1,86.6,916.1,354.4,15.6,17,91.9,26.3,29,90.5,5.13,7.38,69.5,0,0.03,-0.03,0.63,3.25,0.38,0,100.9,3.75
Christian Maggio,it ITA,DF,Benevento,it Serie A,38-289,1982,2,29,37.5,77.3,455.5,216,15.5,18,86.1,12,15,80,1,2.5,40,0,0,0,0,1,0,0,56,2.5
Giulio Maggiore,it ITA,MF,Spezia,it Serie A,22-259,1998,2.2,24.1,33.6,71.6,463.2,125.9,12.3,14.1,87.1,5.91,9.55,61.9,5,7.73,64.7,0,0.09,-0.09,1.36,3.64,0.45,0,87.3,3.64
Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,25-053,1995,2.7,12.6,20.7,60.7,250.7,71.9,5.56,7.41,75,4.81,8.89,54.2,1.85,3.7,50,0,0,0,0,0.74,0.37,0,16.3,1.11
Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,22-180,1998,0.9,52.2,61.1,85.5,1103.3,337.8,20,21.1,94.7,21.1,25.6,82.6,11.1,13.3,83.3,0,0,0,0,5.56,0,0,162.2,4.44
Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,27-266,1993,8,55.3,63.4,87.2,1230.1,339.5,15.5,17.6,87.9,28,30.4,92.2,11.4,14.6,77.8,0,0.01,-0.01,0.25,6.13,0.25,0,157.1,2
Abdallahi Mahmoud,mr MTN,MF,Alavés,es La Liga,20-206,2000,0.5,6,12,50,108,30,2,6,33.3,0,2,0,2,2,100,0,0,0,0,2,0,0,10,0
Riyad Mahrez,dz ALG,FWDF,Manchester City,eng Premier League,29-279,1991,5.6,40.9,50,81.8,713.6,141.6,19.8,21.4,92.5,16.4,19.3,85.2,3.57,6.79,52.6,0.18,0.16,0.02,1.79,1.79,2.14,0.18,138,4.11
Arne Maier,de GER,MF,Arminia,de Bundesliga,21-323,1999,1,39,44,88.6,657,109,16,18,88.9,19,19,100,4,4,100,0,0.1,-0.1,1,0,1,0,35,4
Arne Maier,de GER,MF,Hertha BSC,de Bundesliga,21-323,1999,0.3,66.7,70,95.2,1543.3,360,16.7,16.7,100,40,40,100,10,13.3,75,0,0.67,-0.67,3.33,6.67,3.33,0,313.3,10
Habib Maïga,ci CIV,MF,Metz,fr Ligue 1,24-330,1996,9.3,34.5,43.7,79.1,680,161.9,14,16.1,86.7,15.4,18.4,83.6,5.05,8.39,60.3,0.22,0.15,0.06,0.75,3.23,0.32,0.11,101.7,3.76
Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,24-364,1995,11,21.3,30.5,69.9,659.5,417.7,3.73,3.73,100,10.3,10.4,99.1,7,16.1,43.5,0,0,0,0,0.45,0,0,40.3,0
Ainsley Maitland-Niles,eng ENG,DF,Arsenal,eng Premier League,23-089,1997,2.1,26.2,35.2,74.3,529,92.9,10,12.4,80.8,12.4,13.8,89.7,3.81,8.1,47.1,0,0,0,0,1.9,0,0,86.7,1.43
Josh Maja,ng NGA,FW,Bordeaux,fr Ligue 1,21-335,1998,5.3,19.2,21.9,87.9,251.3,30.6,11.9,13.2,90,5.09,5.66,90,0.94,1.32,71.4,0,0.06,-0.06,0.94,0.94,0.19,0,39.1,0.57
Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,21-010,1999,1,25,37,67.6,605,275,4,4,100,16,17,94.1,5,16,31.3,0,0,0,0,0,0,0,36,0
Abdul Majeed Waris,gh GHA,MFFW,Strasbourg,fr Ligue 1,29-068,1991,3.3,17.3,22.4,77,286.1,34.8,10,12.4,80.5,5.76,6.67,86.4,1.52,2.42,62.5,0,0,0,0,0.91,0,0,130.3,0.91
Marco Majouga,fr FRA,MFFW,Nîmes,fr Ligue 1,19-201,2001,0.6,21.7,33.3,65,271.7,60,10,15,66.7,8.33,10,83.3,0,0,,0,0.17,-0.17,1.67,1.67,0,0,228.3,0
Jean-Victor Makengo,fr FRA,MF,Udinese,it Serie A,22-167,1998,0.6,33.3,36.7,90.9,583.3,126.7,16.7,20,83.3,11.7,11.7,100,3.33,3.33,100,0,0,0,0,5,1.67,0,136.7,5
